condition,metric,seed,Y_B0,Y_R1,Y_R2,Y_R3,R1_minus_B0,R2_minus_B0,interaction,Fire_used_for_decision
thermal_zero,selection_score_S_record_only,202,0.34437133534549286,0.3268633481932756,0.3251639464188556,0.34714689673771276,-0.01750798715221724,-0.01920738892663726,0.039490937471074405,False
thermal_zero,three_class_miou_A001_A047_record_only,200,0.5212302656908974,0.47429210656397086,0.5049727320038869,0.4796188524757466,-0.046938159126926504,-0.01625753368701044,0.02158427959878617,False
thermal_zero,three_class_miou_A001_A047_record_only,201,0.5230864035307404,0.49009340419149094,0.5019448175325524,0.502994167945799,-0.032992999339249485,-0.02114158599818805,0.03404234975249609,False
thermal_zero,three_class_miou_A001_A047_record_only,202,0.5122328290818446,0.4905415985132259,0.493235782286998,0.5096820597242482,-0.02169123056861877,-0.01899704679484665,0.03813750800586896,False
thermal_zero,fire_heat_iou_A001_A047_record_only,200,6.098062950303836e-06,0.015065718363237524,0.00024357432883557892,0.009778758916931397,0.01505962030028722,0.0002374762658852751,-0.005524435712191402,False
thermal_zero,fire_heat_iou_A001_A047_record_only,201,3.048111390182643e-06,0.001070063816726446,8.026919879091328e-05,0.0003547037044165124,0.0010670157053362633,7.722108740073064e-05,-0.0007925811997106643,False
thermal_zero,fire_heat_iou_A001_A047_record_only,202,0.0,0.004582599376524383,0.00016811965530216718,0.005474315374136776,0.004582599376524383,0.00016811965530216718,0.0007235963423102253,False
thermal_zero,fire_heat_iou_full134_record_only,200,3.585103179269499e-06,0.01209320300355626,0.00018905748444686933,0.009406288924937218,0.01208961790037699,0.00018547238126759982,-0.002872386459886642,False
thermal_zero,fire_heat_iou_full134_record_only,201,1.8309619324704621e-06,0.0009832871646032585,9.024819486749842e-05,0.0003210674419616943,0.000981456202670788,8.841723293502796e-05,-0.0007506369555765922,False
thermal_zero,fire_heat_iou_full134_record_only,202,0.0,0.008191312670233862,0.00017282891539768222,0.0070397120370200685,0.008191312670233862,0.00017282891539768222,-0.0013244295486114761,False
rgb_zero,smoke_iou_A001_A047,200,0.09064853820674584,0.044897629676703694,0.1195243110232244,0.08664407187546377,-0.04575090853004215,0.02887577281647856,0.012870669382281513,False
rgb_zero,smoke_iou_A001_A047,201,0.3951446765862655,0.07797235494630901,0.2720730099192122,0.032383797450882566,-0.3171723216399565,-0.12307166666705333,0.07748310917162687,False
rgb_zero,smoke_iou_A001_A047,202,0.3093162687704428,0.012385992067654384,0.30142210095829924,0.040327079871178645,-0.29693027670278843,-0.007894167812143582,0.03583525561566786,False
rgb_zero,selection_score_S_record_only,200,0.4003255040447201,0.3591748837142971,0.4397628703308557,0.3832391261476188,-0.04115062033042299,0.03943736628613559,-0.015373123852813919,False
rgb_zero,selection_score_S_record_only,201,0.5203655093280107,0.28761966351595586,0.2257323079224876,0.24591488619856977,-0.23274584581205487,-0.2946332014055231,0.25292842408813704,False
